"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","ID:3 --------查询用户数据列表成功","testcases","Tue Aug 11 22:30:35 CST 2026","passed","Tue Aug 11 22:30:35 CST 2026","TestRunner","test_runner","",""
"","8","ID:2 --------未登录状态，查询用户列表失败","testcases","Tue Aug 11 22:30:35 CST 2026","passed","Tue Aug 11 22:30:35 CST 2026","TestRunner","test_runner","",""
"","49","ID:6 --------图片上传成功","testcases","Tue Aug 11 22:30:35 CST 2026","passed","Tue Aug 11 22:30:35 CST 2026","TestRunner","test_runner","",""
"","472","ID:1 --------管理员登陆成功","testcases","Tue Aug 11 22:30:35 CST 2026","passed","Tue Aug 11 22:30:35 CST 2026","TestRunner","test_runner","",""
